sample_name,CST,oCST,center_name,experiment_design_description,instrument_model,library_construction_protocol,linker,orig_name,project_name,run_center,run_date,run_prefix,sample_plate,target_gene,target_subfragment,well_description,well_id,qiita_prep_id,birthplace,cage,env_biome,env_feature,env_material,env_package,facility,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,mouse,host_subject_id,host_taxid,qiita_study_id,room_number,sample_type,scientific_name,taxon_id,tp_char,title,timepoint,treatment,trx,tube_number,Description
12502.1C11,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C11,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_1C11_A6,A6,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C11,C11,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C11,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C11,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_2C11_E6,E6,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C11,C11,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.0C12,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,0C12,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_0C12_H5,H5,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C12,C12,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d0,Impact of human milk oligosaccharides on mouse vaginal microbiota,0,Control_GBS,2,,Vaginal lavage day 0
12502.1C12,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C12,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_1C12_H3,H3,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C12,C12,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C12,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C12,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_2C12_H2,H2,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C12,C12,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C12,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C12,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_3C12_D3,D3,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C12,C12,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.1C13,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C13,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_1C13_G6,G6,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C13,C13,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C13,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C13,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_2C13_F12,F12,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C13,C13,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C13,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C13,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_3C13_B4,B4,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C13,C13,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.6C13,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6C13,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_6C13_C9,C9,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C13,C13,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,Control_GBS,2,,Vaginal lavage day 6
12502.1C14,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C14,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_1C14_A9,A9,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C14,C14,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C14,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C14,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_2C14_C6,C6,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C14,C14,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C14,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C14,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_3C14_B1,B1,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C14,C14,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.6C14,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6C14,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_6C14_C9,C9,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C14,C14,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,Control_GBS,2,,Vaginal lavage day 6
12502.0C15,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,0C15,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_0C15_D12,D12,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C15,C15,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d0,Impact of human milk oligosaccharides on mouse vaginal microbiota,0,Control_GBS,2,,Vaginal lavage day 0
12502.1C15,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C15,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_1C15_C5,C5,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C15,C15,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C15,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C15,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_2C15_E11,E11,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C15,C15,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C15,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C15,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_3C15_H4,H4,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C15,C15,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.0C16,2,5,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,0C16,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_0C16_H10,H10,7837,Jackson Labs,C6,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C16,C16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d0,Impact of human milk oligosaccharides on mouse vaginal microbiota,0,Control_GBS,2,,Vaginal lavage day 0
12502.1C16,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C16,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_1C16_H7,H7,7837,Jackson Labs,C6,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C16,C16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C16,2,5,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C16,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_2C16_A1,A1,7837,Jackson Labs,C6,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C16,C16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C16,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C16,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_3C16_A2,A2,7837,Jackson Labs,C6,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C16,C16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.6C16,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6C16,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_1,16S rRNA,V4,Momi_Patras_Seed_Plate_1_B11_B11,B11,7837,Jackson Labs,C6,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C16,C16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,Control_GBS,2,,Vaginal lavage day 6
