sample_name,Distance,CST,oCST,center_name,experiment_design_description,instrument_model,library_construction_protocol,linker,orig_name,project_name,run_center,run_date,run_prefix,sample_plate,target_gene,target_subfragment,well_description,well_id,qiita_prep_id,birthplace,cage,env_biome,env_feature,env_material,env_package,facility,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,mouse,host_subject_id,host_taxid,qiita_study_id,room_number,sample_type,scientific_name,taxon_id,tp_char,title,timepoint,treatment,trx,tube_number,Description
12502.2T22,0.274210526,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2T22,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_2T22_H6,H6,8285,Jackson Labs,C22,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T22,T22,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,pHMO,3,153,Vaginal lavage day 0
12502.1T21,0.001052632,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1T21,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_1T21_B1,B1,8285,Jackson Labs,C22,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T21,T21,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,pHMO,3,,Vaginal lavage day 6
12502.2T21,0.001052632,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2T21,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_2T21_H1,H1,8285,Jackson Labs,C22,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T21,T21,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,pHMO,3,152,Vaginal lavage day 0
12502.3T21,0,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3T21,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_3T21_B4,B4,8285,Jackson Labs,C22,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T21,T21,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,pHMO,3,,Vaginal lavage day 3
12502.6T21,0.001052632,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6T21,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_6T21_E8,E8,8285,Jackson Labs,C22,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T21,T21,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,pHMO,3,208,Vaginal lavage day 0
12502.6T20,,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6T20,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_6T20_G3,G3,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T20,T20,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,pHMO,3,231,Vaginal lavage day 0
12502.1T19,0.846315789,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1T19,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_1T19_D3,D3,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T19,T19,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,pHMO,3,,Vaginal lavage day 6
12502.2T19,0.966315789,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2T19,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_2T19_G6,G6,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T19,T19,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,pHMO,3,146,Vaginal lavage day 0
12502.3T19,0.976315789,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3T19,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_3T19_F2,F2,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T19,T19,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,pHMO,3,,Vaginal lavage day 3
12502.6T19,0.976315789,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6T19,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_6T19_F3,F3,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T19,T19,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,pHMO,3,207,Vaginal lavage day 0
12502.1T18,0.001052632,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1T18,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_1T18_F12,F12,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T18,T18,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,pHMO,3,,Vaginal lavage day 6
12502.2T18,0.001052632,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2T18,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_2T18_F11,F11,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T18,T18,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,pHMO,3,145,Vaginal lavage day 0
12502.3T18,0.002105263,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3T18,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_3T18_H11,H11,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T18,T18,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,pHMO,3,,Vaginal lavage day 3
12502.1T17,0.001052632,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1T17,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_1T17_D5,D5,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T17,T17,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,pHMO,3,,Vaginal lavage day 6
12502.2T17,0.000526316,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2T17,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_2T17_F6,F6,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T17,T17,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,pHMO,3,,Vaginal lavage day 2
12502.3T17,0.000526316,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3T17,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_3T17_C11,C11,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T17,T17,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,pHMO,3,,Vaginal lavage day 3
12502.1T16,0.110526316,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1T16,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_1T16_B10,B10,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T16,T16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,pHMO,3,127,Vaginal lavage day 0
12502.2T16,0.248947368,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2T16,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_2T16_H1,H1,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T16,T16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,pHMO,3,,Vaginal lavage day 2
12502.3T16,0.029473684,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3T16,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_3T16_A10,A10,8285,Jackson Labs,C21,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T16,T16,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,pHMO,3,,Vaginal lavage day 3
12502.6T15,,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6T15,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_1_6T15_D2,D2,8285,Jackson Labs,C20,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T15,T15,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,pHMO,3,226,Vaginal lavage day 0
12502.1T14,,2,5,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1T14,MoMI Seed Patras Dec19,UCSDMI,UCSDMI,MoMI_Seed_Patras_Dec19_1-3_Simpson_Rats_1-2_LIBR_58_S1_L001,MoMI_Seed_Patras_Dec19_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Dec19_Plate_2_1T14_G10,G10,8285,Jackson Labs,C20,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,T14,T14,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,pHMO,3,132,Vaginal lavage day 0
